day,cost_delta
0,25662206.324999996
1,32690950.250000015
2,23559381.04
3,15161102.864999995
4,23357087.360000014
5,22922397.39000006
6,22405247.12500003
7,31527633.690000057
8,29510334.33499998
9,23744216.630000114
10,15268361.140000015
11,21684570.580000103
12,21823634.805000007
13,21709783.554999888
14,28683372.02999991
15,29624611.080000103
16,21488470.025000215
17,14285851.820000172
18,22339157.25000006
19,23113053.234999895
20,22185179.410000145
21,27736930.40500027
22,29069983.940000117
23,23099046.609999657
24,15801026.23999989
25,23095409.22500038
26,22045618.1450001
27,22906937.609999776
28,28313626.934999824
29,29085075.140000105